=== E1-E4 cost projection (upper bound, live pricing) ===
done e1_noisy p2: {'done': True, 't': 492}
done e1_noisy p3: {'done': True, 't': 492}
done e1_noisy p4: {'done': True, 't': 492}
done e1_noisy p5: {'done': True, 't': 492}
done e1_noisy p6: {'done': True, 't': 492}
done e1_noisy p7: {'done': True, 't': 492}
done e1_noisy p8: {'done': True, 't': 492}
done e1_noisy p9: {'done': True, 't': 492}
done e1_noisy p10: {'done': True, 't': 492}
done e1_noisy p11: {'done': True, 't': 492}
done e1_noisy p12: {'done': True, 't': 492}
done e1_noisy p13: {'done': True, 't': 492}
done e1_noisy p14: {'done': True, 't': 492}
done e1_noisy p15: {'done': True, 't': 492}
done e1_noisy p16: {'done': True, 't': 492}
done e1_noisy p17: {'done': True, 't': 492}
done e1_noisy p18: {'done': True, 't': 492}
done e1_noisy p19: {'done': True, 't': 492}
done e1_noisy p20: {'done': True, 't': 492}
done e1_noisy p21: {'done': True, 't': 492}
done e1_noisy p22: {'done': True, 't': 492}
done e1_noisy p23: {'done': True, 't': 492}
done e1_noisy p24: {'done': True, 't': 492}
done e1_noisy p25: {'done': True, 't': 492}
done e1_noisy p26: {'done': True, 't': 492}
done e1_noisy p27: {'done': True, 't': 492}
done e1_noisy p28: {'done': True, 't': 492}
done e1_noisy p29: {'done': True, 't': 492}
done e1_noisy p30: {'done': True, 't': 492}
done e1_noisy p31: {'done': True, 't': 492}
done e1_noisy p32: {'done': True, 't': 492}
done e1_noisy p33: {'done': True, 't': 492}
done e1_noisy p34: {'done': True, 't': 492}
done e1_noisy p35: {'done': True, 't': 492}
done e1_noisy p36: {'done': True, 't': 492}
done e1_noisy p37: {'done': True, 't': 492}
done e1_noisy p38: {'done': True, 't': 492}
done e1_noisy p39: {'done': True, 't': 492}
done e3_squeeze p0: {'done': True, 't': 492}
done e3_squeeze p1: {'done': True, 't': 492}
done e3_squeeze p2: {'done': True, 't': 492}
done e3_squeeze p3: {'done': True, 't': 492}
done e3_squeeze p4: {'done': True, 't': 492}
done e3_squeeze p5: {'done': True, 't': 492}
done e3_squeeze p6: {'done': True, 't': 492}
done e3_squeeze p7: {'done': True, 't': 492}
done e3_squeeze p8: {'done': True, 't': 492}
done e3_squeeze p9: {'done': True, 't': 492}
done e3_squeeze p10: {'done': True, 't': 492}
done e3_squeeze p11: {'done': True, 't': 492}
done e3_squeeze p12: {'done': True, 't': 492}
done e3_squeeze p13: {'done': True, 't': 492}
done e3_squeeze p14: {'done': True, 't': 492}
done e3_squeeze p15: {'done': True, 't': 492}
done e3_squeeze p16: {'done': True, 't': 492}
done e3_squeeze p17: {'done': True, 't': 492}
done e3_squeeze p18: {'done': True, 't': 492}
done e3_squeeze p19: {'done': True, 't': 492}
done e3_squeeze p20: {'done': True, 't': 492}
done e3_squeeze p21: {'done': True, 't': 492}
done e3_squeeze p22: {'done': True, 't': 492}
done e3_squeeze p23: {'done': True, 't': 492}
done e3_squeeze p24: {'done': True, 't': 492}
done e3_squeeze p25: {'done': True, 't': 492}
done e3_squeeze p26: {'done': True, 't': 492}
done e3_squeeze p28: {'done': True, 't': 492}
done e3_squeeze p27: {'done': True, 't': 492}
done e3_squeeze p29: {'done': True, 't': 492}
done e3_squeeze p30: {'done': True, 't': 492}
done e3_squeeze p31: {'done': True, 't': 492}
done e3_squeeze p32: {'done': True, 't': 492}
done e3_squeeze p33: {'done': True, 't': 492}
done e3_squeeze p34: {'done': True, 't': 492}
done e2_dialogue p0: {'done': True, 'episodes': 72}
done e2_dialogue p1: {'done': True, 'episodes': 72}
done e3_squeeze p35: {'done': True, 't': 492}
done e3_squeeze p36: {'done': True, 't': 492}done e2_dialogue p2: {'done': True, 'episodes': 72}

done e2_dialogue p3: {'done': True, 'episodes': 72}
done e2_dialogue p5: {'done': True, 'episodes': 72}
done e2_dialogue p6: {'done': True, 'episodes': 72}
done e2_dialogue p4: {'done': True, 'episodes': 72}
done e2_dialogue p7: {'done': True, 'episodes': 72}
done e2_dialogue p9: {'done': True, 'episodes': 72}
done e2_dialogue p8: {'done': True, 'episodes': 72}
done e2_dialogue p10: {'done': True, 'episodes': 72}
done e2_dialogue p11: {'done': True, 'episodes': 72}
done e2_dialogue p12: {'done': True, 'episodes': 72}
done e3_squeeze p38: {'done': True, 't': 492}
done e2_dialogue p13: {'done': True, 'episodes': 72}
done e2_dialogue p14: {'done': True, 'episodes': 72}
done e3_squeeze p37: {'done': True, 't': 492}
done e2_dialogue p15: {'done': True, 'episodes': 72}
done e2_dialogue p16: {'done': True, 'episodes': 72}
done e2_dialogue p17: {'done': True, 'episodes': 72}
done e2_dialogue p18: {'done': True, 'episodes': 72}
done e2_dialogue p19: {'done': True, 'episodes': 72}
done e3_squeeze p39: {'done': True, 't': 492}
done e2_think p0: {'done': True, 'episodes': 72}
done e2_think p2: {'done': True, 'episodes': 72}
done e2_think p3: {'done': True, 'episodes': 72}
done e2_think p1: {'done': True, 'episodes': 72}
done e2_think p4: {'done': True, 'episodes': 72}
done e2_think p5: {'done': True, 'episodes': 72}
done e2_think p7: {'done': True, 'episodes': 72}
done e2_think p8: {'done': True, 'episodes': 72}
done e2_think p6: {'done': True, 'episodes': 72}
done e2_think p9: {'done': True, 'episodes': 72}
done e2_think p10: {'done': True, 'episodes': 72}
done e2_think p11: {'done': True, 'episodes': 72}
done e2_think p12: {'done': True, 'episodes': 72}
done e2_think p14: {'done': True, 'episodes': 72}
done e2_think p15: {'done': True, 'episodes': 72}
done e2_think p13: {'done': True, 'episodes': 72}
done e2_think p16: {'done': True, 'episodes': 72}
done e2_think p17: {'done': True, 'episodes': 72}
done e2_think p18: {'done': True, 'episodes': 72}
done e2_think p19: {'done': True, 'episodes': 72}
done e4_think p0: {'done': True, 't': 632}
done e4_think p1: {'done': True, 't': 632}
done e4_think p2: {'done': True, 't': 632}
done e4_think p3: {'done': True, 't': 632}
done e4_think p4: {'done': True, 't': 632}
done e4_think p5: {'done': True, 't': 632}
done e4_think p10: {'done': True, 't': 632}
done e4_think p6: {'done': True, 't': 632}
done e4_think p7: {'done': True, 't': 632}
done e4_think p9: {'done': True, 't': 632}
done e4_think p8: {'done': True, 't': 632}
done e4_think p11: {'done': True, 't': 632}
done e4_think p13: {'done': True, 't': 632}
done e4_think p14: {'done': True, 't': 632}
done e4_think p12: {'done': True, 't': 632}
done e4_think p15: {'done': True, 't': 632}
done e4_think p17: {'done': True, 't': 632}
done e4_think p16: {'done': True, 't': 632}
done e4_think p18: {'done': True, 't': 632}
done e4_think p19: {'done': True, 't': 632}
ALL ENV CELLS DONE
